Date, Close/Last, Volume, Open, High, Low
01/13/2020, $221.91, 14494520, $219.597, $221.97, $219.21
01/10/2020, $218.06, 12127430, $219.2, $219.88, $217.42
01/09/2020, $218.3, 12679580, $217.54, $218.38, $216.278
01/08/2020, $215.22, 13492700, $213, $216.24, $212.6121
01/07/2020, $213.06, 15111860, $212.82, $214.58, $211.75
01/06/2020, $212.6, 17073860, $206.7, $212.78, $206.52
01/03/2020, $208.67, 11197420, $207.214, $210.4, $206.95
01/02/2020, $209.78, 12090710, $206.75, $209.79, $206.27
12/31/2019, $205.25, 8962756, $203.995, $205.56, $203.6001
12/30/2019, $204.41, 10534440, $207.86, $207.9, $203.9001
12/27/2019, $208.1, 10287630, $208.6697, $208.93, $206.5875
12/26/2019, $207.79, 9368273, $205.567, $207.82, $205.31
12/24/2019, $205.12, 6046273, $206.3, $206.79, $205
12/23/2019, $206.18, 13353190, $206.7, $208.59, $205.68
12/20/2019, $206.3, 27315230, $207.48, $207.71, $203.43
12/19/2019, $206.06, 16808180, $202.78, $206.3, $202.51
12/18/2019, $202.5, 23284750, $200.09, $204.3, $200.09
12/17/2019, $198.39, 10177610, $198.84, $199, $196.13
12/16/2019, $197.92, 14922730, $195.27, $199.12, $194.81
